name,GDP_dollar
United Arab Emirates,37225.745
Argentina,14466.552
Australia,55707.275
Austria,47289.997
Azerbaijan,4140.65
Belgium,43582.165
Bahrain,24028.728
Brazil,9894.929
Canada,45077.388
Switzerland,80590.91
Chile,15070.413
China,8643.107
Colombia,6272.818
Costa Rica,11685.161
Czech Republic,20152.408
Germany,44549.688
Denmark,56444.103
Egypt,2500.772
Spain,28358.808
Estonia,19840.135
Euro area,37250.29028
Finland,46016.744
France,39869.075
Britain,39734.592
Greece,18637.27
Guatemala,4471.873
Hong Kong,46109.124
Honduras,2765.881
Croatia,13138.288
Hungary,15531.209
Indonesia,3875.771
India,1982.702
Ireland,70638.259
Israel,40258.361
Italy,31984.013
Jordan,5677.617
Japan,38439.517
South Korea,29891.255
Kuwait,27318.517
Lebanon,11408.834
Sri Lanka,4084.626
Lithuania,16730.226
Latvia,15547.236
Moldova,2279.645
Mexico,9304.174
Malaysia,9812.8
Nicaragua,2206.638
Netherlands,48345.726
Norway,74940.62
New Zealand,41593.062
Oman,17972.922
Pakistan,1541.08
Peru,6762.192
Philippines,2976.307
Poland,13822.619
Portugal,21161.286
Qatar,60804.259
Romania,10757.004
Russia,10608.159
Saudi Arabia,21120.481
Singapore,57713.335
Slovakia,17664.299
Slovenia,23654.409
Sweden,53217.627
Thailand,6590.638
Turkey,10511.996
Taiwan,24576.665
Ukraine,2582.838
Uruguay,16722.407
United States,59501.114
Vietnam,2353.691
South Africa,6179.87
