Country,Happy Planet Index
Costa Rica,44.7140709773574
Mexico,40.69729222257651
Colombia,40.69501102038909
Vanuatu,40.57009898803998
Vietnam,40.30758930687456
Panama,39.50257721706073
Nicaragua,38.68825826742374
Bangladesh,38.3906944120402
Thailand,37.2901049946857
Ecuador,37.042715714114095
Jamaica,36.88843514369528
Norway,36.82705238216737
Albania,36.766874439109955
Uruguay,36.13427976743987
Spain,35.95897673862395
Indonesia,35.71609257877622
El Salvador,35.635177653287265
Netherlands,35.315450932768506
Argentina,35.190243642294554
Philippines,34.99109366669882
Peru,34.55546153048449
Palestine,34.47194096324895
Brazil,34.344975247648655
Switzerland,34.330969622041906
Tajikistan,34.2495973970354
Guatemala,34.23635156813152
Belize,33.83984315201018
Sri Lanka,33.791776078166464
Venezuela,33.56995966266243
Algeria,33.300542788615374
Kyrgyzstan,33.07797038591029
Denmark,32.672582087699986
Morocco,32.65875156196943
United Kingdom,31.909286323046118
Chile,31.66552155295386
Pakistan,31.50010802376814
Finland,31.293363951496872
New Zealand,31.2583395000787
Iceland,31.0787247382566
Georgia,31.076034130434483
Cyprus,30.711846428980596
Nepal,30.512781538720787
Austria,30.47822432661251
France,30.413506058643833
Dominican Republic,30.307213035861228
Malaysia,30.291713548418738
Croatia,30.164198527193108
Ireland,30.016529573152507
Germany,29.815503585510626
India,29.175464503512924
Uzbekistan,29.126307234060015
Serbia,29.048312577987993
Malta,28.96307142500312
Israel,28.83147555443557
Romania,28.801498535335398
Bhutan,28.623232694458203
Haiti,28.567184774346202
Japan,28.319348084202872
Slovakia,28.228896861344644
Italy,28.07652469913837
Sweden,28.034925186771904
Poland,27.471189416618913
Mauritius,27.38404008918045
Czech Republic,27.28409908808879
Honduras,27.1587707896045
Ethiopia,26.658749963172124
Iraq,26.521291569690366
Turkey,26.42456507822006
Hungary,26.383181515417217
Ukraine,26.38316245478983
Tunisia,26.19714113037088
China,25.72642015541785
Armenia,25.666417288436907
Cambodia,25.64937316366306
Suriname,25.447157038977338
Bosnia and Herzegovina,25.285496892917735
Zambia,25.22424646411198
Montenegro,25.125575355121832
Portugal,24.847393728344652
South Korea,24.790360341261334
Myanmar,24.736100400421353
Slovenia,24.638840370736368
Kenya,24.216351638353263
Iran,23.992041742901446
Canada,23.94183384203565
Egypt,23.781020583811703
Belgium,23.726523427085876
Mozambique,23.706340603355304
Greece,23.62099962120931
Macedonia,23.39190792649336
Paraguay,23.326222792340484
Bolivia,23.32149264012432
Comoros,23.100988814534567
Yemen,22.75426850542089
Nigeria,22.246825835430386
Liberia,22.182279227978782
Tanzania,22.138379293936772
Malawi,22.130818438294174
Zimbabwe,22.112535398870584
Lebanon,21.897769325380793
Senegal,21.896045707219148
Belarus,21.718916081617902
Namibia,21.569233730322814
Ghana,21.43466357444843
Australia,21.228966308259448
Oman,21.13942635719868
Lithuania,21.03656569885549
United States of America,20.746377577545243
Bulgaria,20.440789274271474
Afghanistan,20.225349770957084
Rwanda,19.62837798317014
Uganda,19.419101693196378
Syria,19.100370522371957
Kazakhstan,19.050434636178732
Republic of Congo,18.8127124351232
Russia,18.71017811503093
Mauritania,17.998061394696155
Estonia,17.89502178920171
Burkina Faso,17.886187937472513
Gabon,17.496847728791643
Latvia,17.056728863774623
Niger,16.846564574026175
Hong Kong,16.799684968318704
Cameroon,16.698237171638215
Lesotho,16.665136394471023
Botswana,16.60508318606135
Djibouti,16.42836847003932
South Africa,15.868991671939174
Guinea,15.85358084852303
Trinidad and Tobago,15.718346721557095
Burundi,15.576158801048251
Swaziland,15.536035220949785
Sierra Leone,15.264649740643426
Turkmenistan,14.608544238279485
Cote d'Ivoire,14.438557469478425
Mongolia,14.26947132605124
Benin,13.422364785112695
Togo,13.233269200310191
Luxembourg,13.151174195886261
Chad,12.777156207494
